"x","sgy2","sgy3","sgy4","sgy5","sgy6","sgy7","sgy8","sgy9","sgy10","sgy11","sgy12","sgdy2","sgdy3","sgdy4","sgdy5","sgdy6","sgdy7","sgdy8","sgdy9","sgdy10","sgdy11","sgdy12"
99977,99976.4857142856,99977.3809523809,99977.7705627705,99979.2750582751,99978.2797202798,99975.9656108599,99974.1021671826,99970.6523662097,99968.5011441647,99966.7142857142,99965.5051207729,-25.500000000009,-27.1071428571428,-27.4500000000115,-27.7454545454522,-28.0769230769146,-28.7000000000058,-29.0490196078428,-29.5877192982572,-30.3701298701317,-31.2598814229229,-32.3469230769231
99946,99948.6571428571,99948.4285714286,99948.3116883116,99947.5804195804,99947.3006993008,99945.695927602,99942.6934984519,99941.5656789031,99939.6332134684,99938.4795031056,99938.0542995169,-33.5000000000108,-33.7142857142858,-34.8666666666738,-35.0181818181804,-34.7472527472457,-34.6607142857185,-34.7671568627448,-35.0859649122946,-35.7909090909116,-36.7104743082986,-37.8546153846151
99916,99912.0571428571,99911.9047619047,99910.645021645,99908.9347319347,99907.6853146854,99906.7158371042,99906.3188854489,99905.2220256524,99905.2739457339,99904.9577639751,99904.3619323671,-41.0000000000122,-42.0714285714187,-41.8333333333334,-41.8181818181808,-41.4945054945001,-40.821428571434,-40.7990196078434,-41.187719298262,-41.7363636363662,-42.7450592885365,-43.816923076923
99864,99867.5142857142,99865.4761904762,99864.1385281385,99863.0815850816,99861.2447552448,99861.5493212671,99862.6037151702,99863.5316231755,99864.1696632886,99864.7490683229,99862.4380676328,-50.5000000000109,-49.5357142856963,-48.9166666666672,-48.181818181817,-47.5824175824132,-47.4535714285755,-47.3308823529421,-47.6473684210713,-48.440259740262,-49.2045454545442,-49.8976923076922
99813,99809.4857142857,99810.5714285714,99810.1038961039,99809.1748251748,99810.2797202798,99810.903167421,99812.455108359,99815.0654577619,99816.4017652827,99814.7863354037,99812.7797101449,-58.5000000000113,-56.4642857142624,-55.2833333333354,-54.2000000000013,-53.9230769230746,-54.025000000006,-54.3504901960793,-54.8192982456355,-55.4116883116907,-55.8458498023702,-56.1384615384619
99745,99748.0857142857,99747.9523809524,99749.0432900432,99751.2191142191,99752.8601398602,99755.03800905,99757.1733746129,99758.8080495355,99758.6256946714,99757.1652173913,99754.7698550724,-63.0000000000126,-62.4642857142739,-60.7500000000028,-60.5454545454554,-60.5934065934053,-60.9357142857198,-61.700980392158,-62.3385964912284,-62.4194805194833,-62.4713438735168,-62.6623076923081
99683,99681.4571428571,99682.4285714286,99684.7662337662,99687.6853146853,99690.2937062937,99693.0190045251,99694.8297213621,99693.7160548429,99692.245505067,99691.2161490683,99690.7228985507,-67.1000000000156,-65.9642857142838,-66.9166666666714,-67.0909090909089,-67.6813186813191,-68.5678571428636,-69.2524509803932,-69.4491228070173,-69.4233766233791,-69.2786561264815,-69.4200000000002
99614,99614.2571428571,99615.761904762,99617.4632034632,99618.9836829836,99622.041958042,99623.5583710409,99622.2972136222,99620.7014595311,99618.9022556391,99618.5888198757,99620.4711111111,-68.6000000000114,-71.5357142857241,-72.7833333333367,-74.336363636338,-75.5219780219746,-76.4142857142895,-76.519607843138,-76.3719298245604,-76.2753246753273,-76.3725296442682,-76.7515384615389
99543,99545.4857142857,99545.3333333333,99544.8008658008,99545.9836829837,99545.6433566434,99543.7819004527,99541.6160990711,99539.8407784166,99539.6979405034,99541.1627329192,99542.7547826087,-76.0000000000151,-77.7142857143071,-80.2000000000035,-82.1999999999785,-83.7032967032902,-83.7321428571473,-83.5220588235298,-83.2947368421041,-83.3220779220804,-83.8320158102759,-84.3676923076928
99472,99467.6285714285,99466.3333333333,99466.0346320346,99463.5011655012,99459.3496503497,99455.4416289594,99453.4520123838,99453.1857585139,99455.0212487741,99456.8347826087,99457.208115942,-85.1000000000171,-87.0714285714477,-89.1000000000036,-90.8272727272576,-90.8626373626305,-90.7607142857182,-90.4044117647062,-90.4315789473665,-90.9558441558471,-91.4990118577068,-91.9423076923082
